Transaction date,USD_to_NTD,USD_to_HKD,NTD_to_USD,HKD_to_USD
2005-09-15,N/A,N/A,N/A,N/A
2005-09-15,N/A,N/A,N/A,N/A
2005-09-15,N/A,N/A,N/A,N/A
2005-10-14,N/A,N/A,N/A,N/A
2005-11-14,N/A,N/A,N/A,N/A
2005-12-14,N/A,N/A,N/A,N/A
2006-01-18,N/A,N/A,N/A,N/A
2006-02-17,N/A,N/A,N/A,N/A
2006-03-17,N/A,N/A,N/A,N/A
2006-04-18,N/A,N/A,N/A,N/A
2006-05-22,N/A,N/A,N/A,N/A
2006-06-16,N/A,N/A,N/A,N/A
2006-07-14,N/A,N/A,N/A,N/A
2006-08-16,N/A,N/A,N/A,N/A
2006-09-19,N/A,N/A,N/A,N/A
2006-10-17,N/A,N/A,N/A,N/A
2006-11-16,N/A,N/A,N/A,N/A
2006-12-16,N/A,N/A,N/A,N/A
2007-01-16,N/A,N/A,N/A,N/A
2007-02-15,N/A,N/A,N/A,N/A
2007-03-14,N/A,N/A,N/A,N/A
2007-04-13,N/A,N/A,N/A,N/A
2007-05-15,N/A,N/A,N/A,N/A
2007-06-16,N/A,N/A,N/A,N/A
2007-07-17,N/A,N/A,N/A,N/A
2007-08-15,N/A,N/A,N/A,N/A
2007-09-17,N/A,N/A,N/A,N/A
2007-10-15,N/A,N/A,N/A,N/A
2007-11-13,N/A,N/A,N/A,N/A
2007-12-15,N/A,N/A,N/A,N/A
2008-01-15,N/A,N/A,N/A,N/A
2008-02-14,N/A,N/A,N/A,N/A
2008-03-15,N/A,N/A,N/A,N/A
2008-04-15,N/A,N/A,N/A,N/A
2008-05-14,N/A,N/A,N/A,N/A
2008-06-17,N/A,N/A,N/A,N/A
2008-07-16,N/A,N/A,N/A,N/A
2008-08-15,N/A,N/A,N/A,N/A
2008-09-16,N/A,N/A,N/A,N/A
2008-10-16,N/A,N/A,N/A,N/A
2008-11-17,N/A,N/A,N/A,N/A
2008-12-13,N/A,N/A,N/A,N/A
2009-01-16,N/A,N/A,N/A,N/A
2009-01-16,N/A,N/A,N/A,N/A
2009-02-17,N/A,N/A,N/A,N/A
2009-02-17,N/A,N/A,N/A,N/A
2009-03-14,N/A,N/A,N/A,N/A
2009-04-15,N/A,N/A,N/A,N/A
2009-05-14,N/A,N/A,N/A,N/A
2009-06-16,N/A,N/A,N/A,N/A
2009-07-15,N/A,N/A,N/A,N/A
2009-08-14,N/A,N/A,N/A,N/A
2009-09-16,N/A,N/A,N/A,N/A
2009-10-16,N/A,N/A,N/A,N/A
2009-11-16,N/A,N/A,N/A,N/A
2009-12-16,N/A,N/A,N/A,N/A
2010-01-14,N/A,N/A,N/A,N/A
2010-02-19,N/A,N/A,N/A,N/A
2010-03-15,N/A,N/A,N/A,N/A
2010-04-16,N/A,N/A,N/A,N/A
2010-05-17,N/A,N/A,N/A,N/A
2010-06-16,N/A,N/A,N/A,N/A
2010-07-20,N/A,N/A,N/A,N/A
2010-08-20,N/A,N/A,N/A,N/A
2010-09-16,N/A,N/A,N/A,N/A
2010-10-18,N/A,N/A,N/A,N/A
2010-11-15,N/A,N/A,N/A,N/A
2010-12-15,N/A,N/A,N/A,N/A
2011-01-15,N/A,N/A,N/A,N/A
2011-02-16,N/A,N/A,N/A,N/A
2011-03-16,N/A,N/A,N/A,N/A
2011-04-20,N/A,N/A,N/A,N/A
2011-05-17,N/A,N/A,N/A,N/A
2011-06-15,N/A,N/A,N/A,N/A
2011-07-15,N/A,N/A,N/A,N/A
2011-08-16,N/A,N/A,N/A,N/A
2011-09-15,N/A,N/A,N/A,N/A
2011-10-14,N/A,N/A,N/A,N/A
2011-11-15,N/A,N/A,N/A,N/A
2011-12-16,N/A,N/A,N/A,N/A
2012-01-17,N/A,N/A,N/A,N/A
2012-02-15,N/A,N/A,N/A,N/A
2012-03-16,N/A,N/A,N/A,N/A
2012-04-16,N/A,N/A,N/A,N/A
2012-05-17,N/A,N/A,N/A,N/A
2012-06-18,N/A,N/A,N/A,N/A
2012-07-17,N/A,N/A,N/A,N/A
2012-08-16,N/A,N/A,N/A,N/A
2012-09-18,N/A,N/A,N/A,N/A
2012-10-15,N/A,N/A,N/A,N/A
2012-11-15,N/A,N/A,N/A,N/A
2012-12-14,N/A,N/A,N/A,N/A
2013-01-16,N/A,N/A,N/A,N/A
2013-02-15,N/A,N/A,N/A,N/A
2013-03-16,N/A,N/A,N/A,N/A
2013-04-16,N/A,N/A,N/A,N/A
2013-05-17,N/A,N/A,N/A,N/A
2013-06-13,N/A,N/A,N/A,N/A
2013-07-16,N/A,N/A,N/A,N/A
2013-08-16,N/A,N/A,N/A,N/A
2013-09-16,N/A,N/A,N/A,N/A
2013-10-17,N/A,N/A,N/A,N/A
2013-11-19,N/A,N/A,N/A,N/A
2013-12-17,N/A,N/A,N/A,N/A
2014-01-16,N/A,N/A,N/A,N/A
2014-02-15,N/A,N/A,N/A,N/A
2014-03-14,N/A,N/A,N/A,N/A
2014-04-15,N/A,N/A,N/A,N/A
2014-05-16,N/A,N/A,N/A,N/A
2014-06-17,N/A,N/A,N/A,N/A
2014-07-15,N/A,N/A,N/A,N/A
2014-08-14,N/A,N/A,N/A,N/A
2014-09-16,N/A,N/A,N/A,N/A
2014-09-17,N/A,N/A,N/A,N/A
2014-10-15,N/A,N/A,N/A,N/A
2014-11-14,N/A,N/A,N/A,N/A
2014-12-16,N/A,N/A,N/A,N/A
2015-01-16,N/A,N/A,N/A,N/A
2015-02-13,N/A,N/A,N/A,N/A
2015-03-13,N/A,N/A,N/A,N/A
2015-04-16,N/A,N/A,N/A,N/A
2015-05-15,N/A,N/A,N/A,N/A
2015-06-17,N/A,N/A,N/A,N/A
2015-07-16,N/A,N/A,N/A,N/A
2015-08-15,N/A,N/A,N/A,N/A
2015-09-16,N/A,N/A,N/A,N/A
2015-10-15,N/A,N/A,N/A,N/A
2015-11-14,N/A,N/A,N/A,N/A
2015-12-16,N/A,N/A,N/A,N/A
2016-01-15,33.471892,7.781578,0.029876,0.128509
2016-02-16,33.268000,7.785441,0.030059,0.128445
2016-03-15,32.875500,7.758462,0.030418,0.128892
2016-04-15,32.395498,7.756804,0.030868,0.128919
2016-05-16,32.622037,7.764272,0.030654,0.128795
2016-06-15,32.419500,7.761215,0.030846,0.128846
2016-07-15,32.037966,7.754748,0.031213,0.128953
2016-08-15,31.407000,7.756555,0.031840,0.128923
2016-09-15,31.725589,7.757983,0.031520,0.128899
2016-10-17,31.713002,7.758564,0.031533,0.128890
2016-11-16,31.863000,7.757327,0.031384,0.128910
2016-12-15,31.799277,7.758209,0.031447,0.128896
2017-01-13,31.669873,7.754131,0.031576,0.128964
2017-02-15,30.862306,7.759066,0.032402,0.128881
2017-03-15,30.968711,7.767254,0.032291,0.128746
2017-04-17,30.382561,7.773474,0.032914,0.128643
